Rank,lemma,Frequency_Score,pos,english_definition,example_vi,example_en
505,hôm,5.63,noun,"day, yesterday, tomorrow",Hôm qua trời mưa to.,It rained heavily yesterday.
506,mỗi,5.63,determiner,"each, every",Mỗi người một ý.,Everyone has their own opinion.
507,sắc,5.63,adjective,"sharp, keen, acute",Con dao này rất sắc.,This knife is very sharp.
508,trợ,5.63,verb,"to help, assist, aid",Bạn có thể trợ giúp tôi không?,Can you help me?
509,uống,5.63,verb,to drink,Uống nước đi cho đỡ khát.,Drink some water to quench your thirst.
510,đá,5.63,verb,to kick,Anh ấy đá bóng giỏi lắm.,He's very good at playing soccer.
511,đạt,5.63,verb,"to achieve, reach, attain",Cô ấy đã đạt được mục tiêu.,She has achieved her goal.
512,dễ,5.62,adjective,"easy, simple",Bài này dễ thật đấy.,This lesson is really easy.
513,hộ,5.62,verb,"to assist, help (for someone)",Bạn làm hộ tôi việc này nhé.,Can you do this for me?
514,kim,5.62,noun,"needle, metal, gold",Mũi kim này sắc quá.,This needle is too sharp.
515,kiện,5.62,noun,"lawsuit, case, item",Anh ấy đang có một vụ kiện.,He currently has a lawsuit.
516,kích,5.62,verb,"to stimulate, activate, trigger",Nó kích hoạt hệ thống.,It activates the system.
517,nghiên,5.62,verb,"to research, study",Anh ấy đang nghiên cứu.,He is doing research.
518,thuốc,5.62,noun,"medicine, drug, tobacco",Bạn đã uống thuốc chưa?,Have you taken your medicine yet?
519,xa,5.62,adjective,"far, distant",Nhà tôi ở rất xa.,My house is very far away.
520,đâu,5.62,interrogative pronoun,"where, anywhere, how",Bạn đi đâu đấy?,Where are you going?
521,9,5.61,numeral,nine (number),Tôi có 9 quyển sách.,I have 9 books.
522,ngoại,5.61,noun,maternal grandmother,Bà ngoại tôi rất hiền.,My maternal grandmother is very gentle.
523,nhiệt,5.61,noun,"heat, temperature, passion",Nhiệt độ hôm nay cao lắm.,The temperature is very high today.
524,sang,5.61,verb,"move to, transfer",Mai anh ấy sang nhà tôi.,Tomorrow he will come to my house.
525,sức,5.61,noun,"strength, power, health",Anh ấy có sức khỏe tốt.,He has good health.
526,trái,5.61,noun,"fruit, consequence, left",Đây là trái bưởi.,This is a pomelo.
527,trời,5.61,noun,"sky, heaven, weather",Trời hôm nay nắng đẹp.,The sky is sunny today.
528,trực,5.61,verb,"be on duty, direct",Tối nay tôi phải trực.,Tonight I have to be on duty.
529,ty,5.61,noun,"company, bureau, office",Anh tôi làm ở ty dầu khí.,My brother works at an oil and gas company/bureau.
530,vi,5.61,prefix,"micro-, tiny, subtle",Ông ấy nghiên cứu vi sinh vật.,He studies microorganisms.
531,đàn,5.61,noun,"musical instrument, herd",Cô ấy biết chơi đàn piano.,She knows how to play the piano.
532,độc,5.61,adjective,"poisonous, toxic, unique",Loại nấm này rất độc.,This type of mushroom is very poisonous.
533,chẳng,5.6,particle,"expresses negation, not at all",Tôi chẳng biết gì cả.,I don't know anything at all.
534,hạ,5.6,verb,"lower, drop, reduce",Xin hạ nhiệt độ xuống.,Please lower the temperature.
535,quy,5.6,verb,"return to, revert",Anh ấy đã quy về làng cũ.,He has returned to his old village.
536,trận,5.6,noun,"battle, match, shower",Trận đấu này rất hay.,This match is very good.
537,vòng,5.6,noun,"circle, ring, loop",Cái vòng này đẹp quá.,This ring is very beautiful.
538,vũ,5.6,prefix,"dance, military, cosmos",Vũ khí hạt nhân rất nguy hiểm.,Nuclear weapons are very dangerous.
539,đau,5.6,verb,"hurt, painful, ache",Tôi bị đau đầu quá.,My head hurts so much.
540,đoạn,5.6,noun,"section, segment, part",Đoạn đường này khó đi.,This section of the road is hard to travel.
541,giám,5.59,verb,"to dare, to supervise",Tôi dám chắc là đúng.,I dare say it's correct.
542,gái,5.59,noun,"girl, daughter, female",Con gái tôi rất ngoan.,My daughter is very well-behaved.
543,gây,5.59,verb,"cause, provoke, create",Đừng gây sự nữa nhé.,Don't cause trouble anymore.
544,long,5.59,verb,"to peel off, to become loose",Cái đinh bị long ra rồi.,The nail came loose.
545,lễ,5.59,noun,"ceremony, festival, etiquette",Hôm nay là ngày lễ.,Today is a holiday.
546,mô,5.59,noun,"model, tissue",Đây là mô hình nhà tôi.,This is a model of my house.
547,mùa,5.59,noun,"season, crop",Mùa đông năm nay lạnh lắm.,This winter is very cold.
548,quý,5.59,verb,"cherish, respect, value",Tôi rất quý anh ấy.,I really cherish him.
549,sân,5.59,noun,"yard, court, field",Nhà tôi có sân rộng.,My house has a large yard.
550,the,5.59,verb,to add (water/ingredient),Bạn the thêm nước vào nhé.,Please add a little more water.
551,thủy,5.59,noun,"water, fluid (in compounds)",Năng lượng thủy điện sạch lắm.,Hydropower is very clean energy.
552,tiểu,5.59,verb,"to urinate; small, minor",Anh ấy đi tiểu rồi.,He went to pee.
553,trò,5.59,noun,"game, trick, student",Mấy đứa trẻ đang chơi trò gì thế?,What game are the children playing?
554,tuyệt,5.59,adjective,"excellent, superb, absolute",Món ăn này ngon tuyệt!,This dish is absolutely delicious!
555,chúa,5.58,noun,"Lord, master, sovereign",Chúa trời phù hộ chúng con.,God bless us.
556,duy,5.58,adverb,"only, solely, merely",Duy chỉ có anh ấy biết.,Only he knows.
557,hạn,5.58,noun,"limit, deadline, drought",Hạn chót là ngày mai.,The deadline is tomorrow.
558,hậu,5.58,noun,"rear, back, after",Chuyện này hậu xét.,This matter will be considered later.
559,lệ,5.58,noun,"custom, rule; tear",Đây là thông lệ của công ty.,This is the company's usual practice.
560,mặc,5.58,verb,"to wear; despite, regardless of",Cô ấy mặc áo mới.,She is wearing a new shirt.
561,nghị,5.58,noun,"resolution, decree, deliberation",Hội nghị này quan trọng lắm.,This conference is very important.
562,nhạc,5.58,noun,"music, tune",Tối nay có nhạc hay đấy.,There's good music tonight.
563,phép,5.58,noun,"permission, rule, magic",Con phải xin phép bố mẹ chứ.,You must ask your parents for permission.
564,trần,5.58,adjective,"bare, naked, exposed",Anh ấy ở trần đấy.,He's shirtless.
565,y,5.58,noun,"medicine, medical field",Anh ấy học y à?,Is he studying medicine?
566,bàn,5.57,verb,"to discuss, talk over",Mình ngồi xuống bàn chuyện đi.,Let's sit down and talk.
567,chuẩn,5.57,adjective,"standard, accurate, correct",Câu trả lời này chuẩn rồi.,This answer is correct.
568,du,5.57,verb,"to travel, roam",Cuối tuần này mình đi du lịch nhé.,Let's travel this weekend.
569,hồng,5.57,adjective,"pink, rose-colored",Cô ấy thích màu hồng.,She likes pink.
570,khách,5.57,noun,"guest, customer, stranger",Nhà mình có khách đấy.,We have guests.
571,kiếm,5.57,verb,"to find, search for",Bạn có kiếm được chìa khóa không?,Did you find the key?
572,lãnh,5.57,verb,"to receive, take; to lead",Anh ấy vừa lãnh lương xong.,He just received his salary.
573,phá,5.57,verb,"to break, destroy, ruin",Đừng có phá đồ của tôi.,Don't break my stuff.
574,phạm,5.57,verb,"to violate, transgress, commit",Anh ấy phạm lỗi rồi.,He made a mistake.
575,quảng,5.57,adjective,"wide, broad, extensive",Quảng đường này xa quá.,This distance is too far.
576,đa,5.57,adjective,"many, multi-, numerous",Cô ấy là người đa tài.,She is a multi-talented person.
577,đóng,5.57,verb,"to close, shut; to pay",Bạn đóng cửa giúp tôi nhé.,Please close the door for me.
578,đô,5.57,noun,"dollar; city, urban area",Cái này giá mấy đô?,How many dollars is this?
579,đảng,5.57,noun,"political party, faction",Anh ấy là đảng viên.,He is a party member.
580,chia,5.56,verb,"to divide, share, split",Mình chia đôi cái này nhé.,Let's split this in half.
581,khiến,5.56,verb,"to cause, make happen",Chuyện đó khiến tôi lo lắng.,That made me worried.
582,mua,5.56,verb,"to buy, purchase",Chiều nay tôi đi mua đồ.,This afternoon I'm going shopping.
583,môi,5.56,noun,"lip, lips",Cô ấy có đôi môi xinh.,She has pretty lips.
584,nhóm,5.56,noun,"group, team",Nhóm mình ăn trưa ở đâu?,Where does our group eat lunch?
585,tuần,5.56,noun,week,Tuần sau tôi đi công tác.,Next week I'm on a business trip.
586,vài,5.56,quantifier,"a few, some",Tôi có vài quyển sách hay.,I have a few good books.
587,đôi,5.56,noun,"pair, couple",Đôi giày này đẹp quá.,This pair of shoes is so beautiful.
588,cập,5.55,verb,"to reach, to touch",Con thuyền vừa cập bến.,The boat just docked.
589,hưởng,5.55,verb,"to enjoy, benefit from",Tôi muốn được hưởng cuộc sống.,I want to enjoy life.
590,i,5.55,noun,the letter 'i',Chữ 'i' đứng cạnh chữ 'a'.,The letter 'i' stands next to 'a'.
591,khai,5.55,verb,"to open, declare",Họ vừa khai trương cửa hàng.,They just opened a store.
592,khả,5.55,adjective,"possible, feasible",Việc đó có khả thi không?,Is that feasible?
593,kỹ,5.55,adverb,"carefully, thoroughly",Anh ấy làm việc rất kỹ.,He works very carefully.
594,ngủ,5.55,verb,to sleep,Tối nay tôi muốn ngủ sớm.,Tonight I want to sleep early.
595,nhé,5.55,particle,gentle suggestion/request marker,Mình đi ăn nhé!,"Let's go eat, okay?"
596,nhớ,5.55,verb,"to remember, to miss",Tôi rất nhớ bạn bè.,I miss my friends very much.
597,trai,5.55,noun,"boy, young man",Cậu ấy là một chàng trai tốt.,He is a good young man.
598,đào,5.55,verb,"to dig, to excavate",Mấy người đang đào đất.,Those people are digging soil.
599,chạy,5.54,verb,"to run, to operate",Tôi thích chạy bộ mỗi sáng.,I like to run every morning.
600,dục,5.54,verb,"to urge, to incite",Anh ấy dục tôi đi nhanh lên.,He urged me to hurry up.
601,ghi,5.54,verb,"to record, to note down",Cậu ghi lại số điện thoại đi.,You note down the phone number.
602,khỏi,5.54,verb,to recover from illness,Anh ấy khỏi ốm rồi đấy.,He's recovered from illness already.
603,phút,5.54,noun,minute (unit of time),Đợi tớ một phút nhé.,"Wait for me one minute, okay?"
604,so,5.54,verb,to compare,Đừng so sánh anh ấy với tớ.,Don't compare him with me.
605,thắng,5.54,verb,"to win, to defeat",Đội mình thắng trận rồi!,Our team won the match!
606,tỷ,5.54,noun,"billion, ratio, sister",Cái này giá mấy tỷ đồng?,How many billion dong does this cost?
607,vẻ,5.54,noun,"appearance, look, expression",Vẻ mặt anh ấy buồn quá.,His expression is too sad.
608,yên,5.54,adjective,"quiet, peaceful, still",Để yên đó cho tớ!,Leave it still there for me!
609,đứng,5.54,verb,to stand,Đừng đứng ở đó nữa.,Don't stand there anymore.
610,c,5.53,verb,"to have, there is, yes",Bạn có bút không?,Do you have a pen?
611,doanh,5.53,noun,"business, enterprise, income",Làm doanh gì bây giờ nhỉ?,What kind of business should we do now?
612,lợi,5.53,noun,"profit, benefit, advantage",Công việc này không có lợi.,This job has no profit.
613,tấn,5.53,classifier,ton (unit of weight),Mua một tấn gạo đi.,Buy one ton of rice.
614,vọng,5.53,noun,"hope, aspiration, outlook",Anh ấy có vọng lớn lắm.,He has very big aspirations.
615,hồi,5.52,adverb,"then, period of time, return",Hồi đó tôi còn bé.,"Back then, I was still young."
616,khẩu,5.52,noun,"mouth, opening, family member",Nhà tôi có sáu khẩu.,My family has six members.
617,lan,5.52,verb,"to spread, to diffuse",Tin tức đã lan đi nhanh.,The news spread quickly.
618,lớp,5.52,noun,"class, layer, grade",Em học lớp mấy?,Which grade are you in?
619,mật,5.52,adjective,"secret, confidential, dense",Đây là thông tin mật.,This is confidential information.
620,thiếu,5.52,verb,"to lack, to be short of",Tôi thiếu tiền mua nhà.,I lack money to buy a house.
621,thoại,5.52,noun,"Speech, talk, communication component",Cho tôi số điện thoại nhé.,"Give me your phone number, please."
622,tránh,5.52,verb,"Avoid, evade, steer clear",Cậu tránh ra một chút.,You move aside a bit.
623,tuyến,5.52,noun,"Line, route, network",Tuyến xe buýt này đi đâu?,Where does this bus route go?
624,tân,5.52,adjective,"New, modern, neo- prefix",Sếp mới là tân tổng giám đốc.,The new boss is the new CEO.
625,ấn,5.52,verb,"Press, push, print",Ấn nút này đi.,Press this button.
626,chuyên,5.51,adjective,"Specialized, professional, expert",Cửa hàng này chuyên bán đồ cổ.,This shop specializes in antiques.
627,hàn,5.51,verb,To weld; cold; Korea,Anh ấy đang hàn sắt.,He is welding iron.
628,thảo,5.51,verb,"Draft, sketch; grass, herb",Cậu đã thảo xong báo cáo chưa?,Have you finished drafting the report yet?
629,vàng,5.51,adjective,Yellow; gold (noun),Áo của tôi màu vàng.,My shirt is yellow.
630,áo,5.51,noun,"Shirt, jacket, coat, garment",Tôi thích chiếc áo này.,I like this shirt.
631,đảo,5.51,noun,"Island; to invert, stir",Việt Nam có nhiều đảo đẹp.,Vietnam has many beautiful islands.
632,chỗ,5.5,noun,"Place, spot, location, seat",Để đồ ở chỗ này.,Put the stuff here.
633,dung,5.5,verb,"Contain, hold, accommodate",Cái nồi này dung được nhiều lắm.,This pot can hold a lot.
634,dòng,5.5,noun,"River, stream; line of text",Dòng sông này chảy về đâu?,Where does this river flow?
635,giảm,5.5,verb,"Reduce, decrease, lessen",Giá đã giảm rồi.,The price has decreased.
636,khá,5.5,adverb,"Quite, rather; fair, good",Món ăn này khá ngon.,This dish is quite delicious.
637,lo,5.5,verb,"Worry, be anxious; provide for",Đừng lo lắng quá.,Don't worry too much.
638,lạc,5.5,verb,Get lost; off-topic; peanut (noun),Chúng tôi bị lạc đường.,We got lost.
639,lệnh,5.5,noun,"Order, command, decree",Anh ấy đã ra lệnh.,He has given an order.
640,phản,5.5,verb,"React, oppose, betray, anti-",Cậu ta phản bội bạn bè.,He betrayed his friends.
641,vợ,5.5,noun,"wife, spouse",Vợ tôi đang nấu cơm.,My wife is cooking rice.
642,xử,5.5,verb,"to handle, deal with",Anh ấy xử lý việc này tốt đấy.,He handled this matter well.
643,ủy,5.5,verb,"to delegate, entrust",Tôi ủy quyền cho anh ấy.,I delegated authority to him.
644,buổi,5.49,noun,"part of day, session",Buổi sáng nay lạnh quá.,This morning is so cold.
645,cáo,5.49,noun,fox; accusation,Con cáo kia trông tinh ranh thật.,That fox looks really cunning.
646,cực,5.49,adverb,"very, extremely, pole",Mệt cực luôn ấy.,I'm extremely tired.
647,mã,5.49,noun,"code, horse",Cái mã vạch này bị mờ.,This barcode is blurry.
648,riêng,5.49,adjective,"private, personal, separate",Cái này là đồ riêng của tôi.,This is my private item.
649,tướng,5.49,noun,"general, appearance, chess piece",Ông tướng này rất tài giỏi.,This general is very talented.
650,hoạch,5.48,verb,"to plan, mark out",Họ đang hoạch định tương lai.,They are planning the future.
651,kỷ,5.48,noun,"discipline, era, memory",Chúng ta nên giữ kỷ luật.,We should maintain discipline.
652,linh,5.48,adjective,"flexible, spiritual, effective",Cái máy này dùng linh hoạt phết.,This machine is quite flexible to use.
653,may,5.48,verb,to sew; fortunately; lucky,Mẹ tôi thích may quần áo.,My mother likes sewing clothes.
654,máu,5.48,noun,"blood, lineage, passion",Anh ấy rất có máu kinh doanh.,He has a strong passion for business.
655,quang,5.48,adjective,"light, bright",Tia quang này rất mạnh.,This light ray is very strong.
656,tiết,5.48,noun,"season, section, segment",Tiết mục này rất hay.,This segment is very good.
657,tuyển,5.48,verb,"to recruit, select",Công ty tôi đang tuyển nhân viên.,My company is recruiting staff.
658,áp,5.48,verb,"to apply, press, close to",Cậu áp dụng cách này đi.,You apply this method.
659,cha,5.47,noun,"father, dad",Cha tôi rất yêu thương gia đình.,My father loves his family very much.
660,chút,5.47,noun,"a little, a bit",Đợi tôi một chút nhé.,Wait for me a little bit.
661,cánh,5.47,noun,"Wing, petal, side, section.",Con chim có đôi cánh.,The bird has a pair of wings.
662,hát,5.47,verb,"To sing, perform a song.",Cô ấy hát rất hay.,She sings very well.
663,hơi,5.47,adverb,"Slightly, somewhat, a bit.",Hôm nay trời hơi lạnh.,Today the weather is a bit cold.
664,miền,5.47,noun,"Region, area, land.",Tôi sống ở miền Bắc.,I live in the Northern region.
665,ngôi,5.47,noun,"Seat, position, house, grammatical person.",Đây là ngôi nhà của tôi.,This is my house.
666,nền,5.47,noun,"Foundation, basis, background, floor.",Nền nhà này rất chắc.,This house's foundation is very solid.
667,quay,5.47,verb,"To turn, rotate, record.",Em bé quay đầu lại.,The baby turned its head back.
668,thúc,5.47,verb,"To urge, push, stimulate.",Mẹ thúc tôi dậy sớm.,Mom urged me to wake up early.
669,to,5.47,adjective,"Large, big, loud.",Con chó này to lắm.,This dog is very big.
670,tịch,5.47,verb,"To confiscate, seize, forfeit.",Họ đã tịch thu tài sản.,They have confiscated the property.
671,chữ,5.46,noun,"Letter, character, word, script.",Con tôi đang học chữ.,My child is learning letters.
672,hiểm,5.46,adjective,"Dangerous, perilous, risky, critical.",Đường này rất hiểm.,This road is very dangerous.
673,hại,5.46,verb,"To harm, damage, injure.",Đừng làm hại người khác.,Don't harm others.
674,hắn,5.46,pronoun,"He, him, it (often negative).",Hắn vừa mới đi.,He just left.
675,khảo,5.46,verb,"To examine, survey, research.",Chúng tôi cần khảo lại.,We need to re-examine.
676,lê,5.46,verb,"To drag, trail, crawl.",Anh ấy lê bước về.,He dragged his steps back.
677,mẫu,5.46,noun,"Sample, model, pattern, template.",Bạn có mẫu này không?,Do you have this sample?
678,nghiệm,5.46,verb,"To verify, experience, prove true.",Lời nói ấy đã nghiệm.,Those words came true.
679,nghỉ,5.46,verb,"To rest, take a break, cease.",Tôi muốn nghỉ một lát.,I want to rest for a moment.
680,nguy,5.46,adjective,"Dangerous, perilous, critical.",Tình hình rất nguy rồi.,The situation is very dangerous now.
681,ninh,5.46,verb,"simmer, stew slowly",Mẹ đang ninh xương nấu phở.,Mom is simmering bones for pho.
682,phiên,5.46,noun,"turn, session, shift",Đến phiên tớ làm bài tập rồi.,It's my turn to do homework now.
683,phó,5.46,prefix,"deputy, vice-, assistant",Anh ấy là phó giám đốc công ty.,He is the company's vice director.
684,thuận,5.46,adjective,"favorable, convenient, smooth",Mọi việc đang rất thuận lợi.,Everything is going very smoothly.
685,thôi,5.46,particle,"expresses finality, cessation","Thôi, mình đi về nhé!","Alright, let's go home!"
686,thất,5.46,verb,"fail, lose, miss",Kế hoạch của họ đã thất bại.,Their plan failed.
687,xảy,5.46,verb,"happen, occur, take place",Chuyện gì đang xảy ra vậy?,What's happening?
688,chắn,5.45,verb,"block, obstruct, prevent",Cậu đừng chắn đường tôi đi.,Don't block my way.
689,cải,5.45,verb,"improve, reform, change",Chúng ta cần cải thiện tình hình.,We need to improve the situation.
690,dấu,5.45,noun,"mark, sign, trace",Có dấu chân trên sàn nhà.,There are footprints on the floor.
691,luận,5.45,verb,"discuss, argue, reason",Họ đang luận về vấn đề đó.,They are discussing that issue.
692,môn,5.45,noun,"subject, field, discipline",Môn toán này khó quá.,This math subject is too hard.
693,tôn,5.45,verb,"respect, honor, worship",Chúng ta phải tôn trọng người lớn.,We must respect elders.
694,biên,5.44,noun,"border, edge, boundary",Vùng biên giới này rất đẹp.,This border region is very beautiful.
695,bước,5.44,verb,"step, walk, stride",Cậu đi nhanh lên một bước.,Take a quick step forward.
696,căn,5.44,verb,"base on, estimate, align",Tôi căn giờ để đi làm.,I estimate the time to go to work.
697,giai,5.44,noun,"stage, class, period",Đây là giai đoạn đầu tiên.,This is the first stage.
698,kiểu,5.44,noun,"style, type, kind",Tớ thích kiểu tóc này hơn.,I prefer this hairstyle.
699,nông,5.44,adjective,"shallow, superficial, agricultural",Hồ nước này hơi nông.,This pond is a bit shallow.
700,quần,5.44,noun,"trousers, pants",Tôi cần mua cái quần mới.,I need to buy new pants.
701,thú,5.44,noun,"Animal, pet, beast.",Nhà bạn có nuôi thú cưng không?,Do you have a pet at home?
702,thử,5.44,verb,"To try, test, attempt.",Bạn thử món này xem.,You try this dish.
703,tức,5.44,adjective,"Angry, furious, resentful.",Anh ấy tức lắm đấy.,He's very angry.
704,đọc,5.44,verb,"To read, study.",Con đang đọc sách gì thế?,What book are you reading?
705,bổ,5.43,adjective,"Nutritious, healthy, fortifying.",Ăn nhiều hoa quả rất bổ.,Eating a lot of fruit is very healthy.
706,chiều,5.43,noun,"Afternoon, evening.",Chiều nay mình đi đâu?,Where are we going this afternoon?
707,càng,5.43,particle,Comparative intensifier (the more... the more...),Anh ấy càng nói càng hăng.,"The more he talks, the more excited he gets."
708,lâm,5.43,verb,"To fall into, encounter (formal).",Nó mà lâm bệnh thì khổ.,"If he falls ill, it will be tough."
709,ngồi,5.43,verb,"To sit, be seated.",Bạn cứ ngồi xuống đi.,Just sit down.
710,phổ,5.43,verb,"To spread, universalize, popularize.",Bài hát này được phổ nhạc.,This song is set to music.
711,thơ,5.43,noun,"Poetry, poem.",Mẹ tôi rất thích đọc thơ.,My mother really likes reading poetry.
712,vai,5.43,noun,"Shoulder, role, part.",Anh ấy có bờ vai rộng.,He has broad shoulders.
713,vua,5.43,noun,"King, monarch, sovereign.",Ngày xưa có một ông vua.,Once upon a time there was a king.
714,bí,5.42,adjective,"Stuck, stumped, mysterious.",Tôi bí cái bài này quá.,I'm really stumped by this problem.
715,bảng,5.42,noun,"Board, blackboard, chart.",Cô giáo viết lên bảng.,The teacher writes on the board.
716,kia,5.42,pronoun,"That (over there), yonder.",Cái xe kia là của ai?,Whose car is that over there?
717,lộ,5.42,verb,"To reveal, expose, disclose.",Bí mật đã bị lộ rồi.,The secret has been revealed.
718,m,5.42,pronoun,"You/I (colloquial, informal, younger speaker)",M đi đâu đấy?,Where are you going?
719,phi,5.42,verb,"To fly, gallop, rush.",Con ngựa phi nhanh lắm.,The horse gallops very fast.
720,thưởng,5.42,verb,"To reward, award, enjoy.",Anh ấy vừa được thưởng nóng.,He just received a spot bonus.
721,thấp,5.42,adjective,"low, short (height)",Cái ghế này hơi thấp.,This chair is a bit low.
722,bánh,5.41,noun,"cake, pastry, disk",Mẹ mua bánh mì về rồi.,Mom bought bread.
723,huy,5.41,noun,"brilliance, glory (often in names)",Tên bạn là Huy à?,Is your name Huy?
724,khởi,5.41,verb,"to arise, to begin",Ý nghĩ ấy chợt khởi lên.,That thought suddenly arose.
725,lai,5.41,adjective,"mixed, hybrid, crossbred",Giống chó này là chó lai.,This dog breed is a hybrid.
726,mức,5.41,noun,"level, extent, degree",Giá cả ở mức vừa phải.,Prices are at a moderate level.
727,sai,5.41,adjective,"wrong, incorrect; to err",Câu trả lời này bị sai rồi.,This answer is wrong.
728,sớm,5.41,adverb,"early, soon",Anh dậy sớm thế?,You woke up so early?
729,toán,5.41,noun,mathematics; calculation,Môn toán của em giỏi lắm.,Your math subject is very good.
730,chấp,5.4,verb,"to accept, to tolerate",Nó không chấp mày đâu.,He won't tolerate you.
731,cấu,5.4,verb,"to pinch, to scratch",Đừng cấu vào tay tôi!,Don't pinch my hand!
732,da,5.4,noun,"skin, leather",Da em bé rất mềm.,Baby's skin is very soft.
733,gửi,5.4,verb,"to send, to deposit",Gửi thư cho tôi nhé.,"Send me a letter, okay?"
734,ngữ,5.4,noun,"language, expression, speech",Cách dùng ngữ của anh ấy lạ lắm.,His way of using words is very strange.
735,nha,5.4,particle,"softening particle, gentle affirmation",Đi chơi nha!,"Let's go out, okay?"
736,niên,5.4,noun,"year, academic term","Hết niên rồi, nghỉ thôi.","The term is over, let's rest."
737,thầy,5.4,noun,"teacher, master",Thầy tôi là người tốt.,My teacher is a good person.
738,tố,5.4,verb,"to accuse, to denounce",Cảnh sát tố anh ta ăn trộm.,The police accused him of stealing.
739,giang,5.39,noun,"river, vast expanse (often in names)",Tên cô ấy là Giang.,Her name is Giang.
740,giác,5.39,verb,"to perceive, to sense",Anh ấy giác rất nhạy.,He perceives very sensitively.
741,giết,5.39,verb,"to kill, murder",Kẻ đó đã giết người vô tội.,That person killed an innocent.
742,kéo,5.39,verb,"to pull, drag, draw",Kéo ghế lại đây ngồi.,Pull the chair over here to sit.
743,luyện,5.39,verb,"to train, practice, refine",Anh ấy đang luyện tập thể hình.,He is training his body.
744,lá,5.39,noun,leaf; sheet (of paper),Nhặt giúp tôi mấy cái lá khô.,Pick up some dry leaves for me.
745,lĩnh,5.39,verb,"to receive, assume, undertake",Anh ấy lĩnh lương tháng này rồi.,He received his salary this month.
746,mong,5.39,verb,"to hope, wish, expect",Tôi mong bạn luôn hạnh phúc.,I hope you are always happy.
747,món,5.39,noun,"dish, course (of food)",Món phở này ngon lắm.,This pho dish is very delicious.
748,mấy,5.39,quantifier,"a few, some; how many/much",Bạn cần mấy cái bút?,How many pens do you need?
749,ngon,5.39,adjective,"delicious, tasty, yummy",Món ăn này ngon thật đấy.,This dish is really delicious.
750,quanh,5.39,adverb,"around, surrounding, roundabout",Mọi người ngồi quanh bàn.,Everyone sat around the table.
751,sông,5.39,noun,river,Nhà tôi ở cạnh con sông.,My house is next to the river.
752,trúc,5.39,noun,bamboo (especially small type),Nhà tôi có trồng mấy bụi trúc.,My house has a few bamboo clumps planted.
753,xuân,5.39,noun,"spring (season), youth",Mùa xuân hoa nở đẹp lắm.,Flowers bloom beautifully in spring.
754,đầy,5.39,adjective,"full, filled, abundant",Cái cốc này đầy nước.,This glass is full of water.
755,đừng,5.39,particle,particle for negative imperative,Đừng đi ngủ muộn nhé.,Don't go to bed late.
756,coi,5.38,verb,"to watch, consider, regard",Đừng coi thường người khác.,Don't look down on others.
757,cười,5.38,verb,"to laugh, smile",Cô ấy cười rất tươi.,She smiled very brightly.
758,hạnh,5.38,noun,"happiness, fortune (in compounds)",Chúc bạn hạnh phúc trọn vẹn.,Wish you complete happiness.
759,hỗ,5.38,verb,"to help, assist (in compounds)",Chúng ta nên hỗ trợ lẫn nhau.,We should support each other.
760,khỏe,5.38,adjective,"healthy, strong, well",Bố mẹ tôi vẫn rất khỏe.,My parents are still very healthy.
761,l,5.38,N/A,Not a standard Vietnamese word,Đây không phải là một từ tiếng Việt.,This is not a Vietnamese word.
762,lương,5.38,noun,"salary, wage, pay",Lương tháng này đã về chưa?,Has this month's salary arrived yet?
763,mai,5.38,noun,"tomorrow, apricot flower",Mai chúng mình gặp nhau nhé.,"Let's meet tomorrow, okay?"
764,mềm,5.38,adjective,"soft, tender, flexible",Cái bánh này mềm thật đấy.,This cake is really soft.
765,phú,5.38,adjective,"rich, wealthy, abundant",Vùng đất này rất phú. ,This land is very rich/abundant.
766,thánh,5.38,noun,"saint, holy person",Ông ấy là một vị thánh.,He is a saint.
767,tội,5.38,noun,"sin, crime, fault",Anh ta đã phạm tội.,He committed a crime.
768,cụ,5.37,noun,"elderly person, grandparent",Cụ tôi năm nay 90 tuổi.,My grandparent is 90 years old this year.
769,dành,5.37,verb,"reserve, save, dedicate",Tôi dành thời gian cho gia đình.,I dedicate time for my family.
770,hương,5.37,noun,"scent, fragrance, incense",Mùi hương này thơm quá.,This scent is so fragrant.
771,la,5.37,verb,"to shout, to yell",Đừng có la hét nữa!,Don't shout anymore!
772,lẽ,5.37,particle,"implies 'should have', 'perhaps'",Lẽ ra anh phải đi.,You should have gone.
773,lỗi,5.37,noun,"fault, error, mistake",Lỗi này là của tôi.,This fault is mine.
774,nhằm,5.37,verb,"aim at, intend for",Anh ấy nhằm vào mục tiêu.,He aimed at the target.
775,suy,5.37,verb,"to decline, to weaken",Sức khoẻ anh ấy suy đi.,His health declined.
776,sẵn,5.37,adjective,"ready, available, prepared",Đồ ăn đã sẵn rồi.,The food is already ready.
777,tòa,5.37,noun,"court, building, block (flats)",Họ đến toà án.,They went to court.
778,tốc,5.37,noun,"speed, pace",Tăng tốc lên!,Speed up!
779,bắn,5.36,verb,"to shoot, to fire",Cấm bắn ở đây!,No shooting here!
780,chứ,5.36,particle,"expresses emphasis, surely, really",Ai mà biết chứ?,"Who would know, really?"
781,hy,5.36,verb,"to hope, expect, wish","Cứ hy, rồi mọi thứ sẽ ổn thôi.","Just hope, then everything will be alright."
782,hạt,5.36,noun,"small seed, grain, particle",Trong quả có mấy hạt.,There are a few seeds in the fruit.
